nwar initials,nwar expansion,,,,Instructions:,#N/A,,#VALUE!,"Function questjson(k, v, elements, questname, portion, icon) : questjson = ""{ """"key"""": """""" & k & """""", "" & IIf(IsEmpty(v), """", """"""value"""": """""" & v & """""","") & "" """"object_types"""": [ "" & Application.VLookup(elements, ActiveSheet.Range(""$A$2:$B$9""), 2, False) & "" ], """"description"""": """""" & questname & "" quest "" & portion & """""", """"icon_url"""": """""" & icon & """""" },"" : End Function"
na,"""node"", ""area""",,,,0. Open file in Excel (or whatever can handle Excel-equivalent formulas).,"Note: The G1 formula has been verified to work correctly on Google Sheets. One should spot-check it anyway, just to be sure.",,,
ar,"""area"", ""relation""",,,,"1. If G1 is text (starts with apostrophe), change it to a formula (starts with =). See #N/A.","Note: The J1 function can be used as a shorter alternative in Excel; call with ""=questjson(A1, B1, C1, D1, E1, F1)""",,,
n,"""node""",,,,"2a. Copy G1 to cells G9 through G(end); cell references: A1 becomes A9, $A$1 stays $A$1.","Note: If more combinations of nwar are found, change the formula range (currently $A$2:$A$9) accordingly.",,,
w,"""way""",,,,2b (alternative). Copy I1 to cells G9 through G(end) and implement J1 function.,"Note: If you add entries, make sure that you don't have cafe autocorrecting to café (amenity). In Excel: logo menu, Excel Options, Proofing, AutoCorrect Options, Replace text as you type.",,,
nar,"""node"", ""area"", ""relation""",,,,"3. Confirm a few lines of JSON are correct, especially the nwar object types expansions.",Note: Don't forget to remove the comma at the end of the last JSON entry after copy/pasting!,,,
wa,"""way"", ""area""",,,,4. Copy/paste resulting JSON text in cells to your favorite editor. Remove last comma.,,,,
nw,"""node"", ""way""",,,,,,,,
,,,,,,,,,
Key,Value,nwar,Quest Name,Quest Verb,Icon,JSON,,,
amenity,toilets,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
amenity,restaurant,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
amenity,cafe,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
amenity,fuel,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
amenity,fast_food,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
name,,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
toilets,yes,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
shop,mall,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
shop,department_store,na,Baby Changing Table,query,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
diaper,,na,Baby Changing Table,query (exclusion),https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
diaper,yes,na,Baby Changing Table,fill,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
diaper,no,na,Baby Changing Table,fill,https://wiki.openstreetmap.org/w/images/1/1c/StreetComplete_quest_baby.svg,,,,
amenity,bicycle_parking,na,Bike Parking Capacity,query,https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_bicycle_parking_capacity.svg,,,,
capacity,,na,Bike Parking Capacity,query (exclusion),https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_bicycle_parking_capacity.svg,,,,
access,private,na,Bike Parking Capacity,query (exclusion),https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_bicycle_parking_capacity.svg,,,,
access,no,na,Bike Parking Capacity,query (exclusion),https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_bicycle_parking_capacity.svg,,,,
capacity,,na,Bike Parking Capacity,fill,https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_bicycle_parking_capacity.svg,,,,
amenity,bicycle_parking,na,Bike Parking Cover,query,https://wiki.openstreetmap.org/w/images/e/e2/StreetComplete_quest_bikecover.svg,,,,
access,private,na,Bike Parking Cover,query (exclusion),https://wiki.openstreetmap.org/w/images/e/e2/StreetComplete_quest_bikecover.svg,,,,
covered,,na,Bike Parking Cover,query (exclusion),https://wiki.openstreetmap.org/w/images/e/e2/StreetComplete_quest_bikecover.svg,,,,
bicycle_parking,shed,na,Bike Parking Cover,query (exclusion),https://wiki.openstreetmap.org/w/images/e/e2/StreetComplete_quest_bikecover.svg,,,,
bicycle_parking,lockers,na,Bike Parking Cover,query (exclusion),https://wiki.openstreetmap.org/w/images/e/e2/StreetComplete_quest_bikecover.svg,,,,
bicycle_parking,building,na,Bike Parking Cover,query (exclusion),https://wiki.openstreetmap.org/w/images/e/e2/StreetComplete_quest_bikecover.svg,,,,
covered,yes,na,Bike Parking Cover,fill,https://wiki.openstreetmap.org/w/images/e/e2/StreetComplete_quest_bikecover.svg,,,,
covered,no,na,Bike Parking Cover,fill,https://wiki.openstreetmap.org/w/images/e/e2/StreetComplete_quest_bikecover.svg,,,,
amenity,bicycle_parking,na,Bike Parking Type,query,https://wiki.openstreetmap.org/w/images/2/21/StreetComplete_quest_bikeparking.svg,,,,
access,private,na,Bike Parking Type,query (exclusion),https://wiki.openstreetmap.org/w/images/2/21/StreetComplete_quest_bikeparking.svg,,,,
bicycle_parking,,na,Bike Parking Type,query (exclusion),https://wiki.openstreetmap.org/w/images/2/21/StreetComplete_quest_bikeparking.svg,,,,
bicycle_parking,stands,na,Bike Parking Type,fill,https://wiki.openstreetmap.org/w/images/2/21/StreetComplete_quest_bikeparking.svg,,,,
bicycle_parking,wall_loops,na,Bike Parking Type,fill,https://wiki.openstreetmap.org/w/images/2/21/StreetComplete_quest_bikeparking.svg,,,,
bicycle_parking,shed,na,Bike Parking Type,fill,https://wiki.openstreetmap.org/w/images/2/21/StreetComplete_quest_bikeparking.svg,,,,
bicycle_parking,lockers,na,Bike Parking Type,fill,https://wiki.openstreetmap.org/w/images/2/21/StreetComplete_quest_bikeparking.svg,,,,
bicycle_parking,building,na,Bike Parking Type,fill,https://wiki.openstreetmap.org/w/images/2/21/StreetComplete_quest_bikeparking.svg,,,,
amenity,parking,nar,Parking Type,query,https://wiki.openstreetmap.org/w/images/2/26/StreetComplete_quest_parking.svg,,,,
parking,,nar,Parking Type,query (exclusion),https://wiki.openstreetmap.org/w/images/2/26/StreetComplete_quest_parking.svg,,,,
parking,surface,nar,Parking Type,fill,https://wiki.openstreetmap.org/w/images/2/26/StreetComplete_quest_parking.svg,,,,
parking,underground,nar,Parking Type,fill,https://wiki.openstreetmap.org/w/images/2/26/StreetComplete_quest_parking.svg,,,,
parking,multi-storey,nar,Parking Type,fill,https://wiki.openstreetmap.org/w/images/2/26/StreetComplete_quest_parking.svg,,,,
amenity,parking,nar,Parking Access,query,https://wiki.openstreetmap.org/w/images/2/2c/StreetComplete_quest_parking_access.svg,,,,
access,,nar,Parking Access,query (exclusion),https://wiki.openstreetmap.org/w/images/2/2c/StreetComplete_quest_parking_access.svg,,,,
access,unknown,nar,Parking Access,query,https://wiki.openstreetmap.org/w/images/2/2c/StreetComplete_quest_parking_access.svg,,,,
access,yes,nar,Parking Access,fill,https://wiki.openstreetmap.org/w/images/2/2c/StreetComplete_quest_parking_access.svg,,,,
access,customers,nar,Parking Access,fill,https://wiki.openstreetmap.org/w/images/2/2c/StreetComplete_quest_parking_access.svg,,,,
access,private,nar,Parking Access,fill,https://wiki.openstreetmap.org/w/images/2/2c/StreetComplete_quest_parking_access.svg,,,,
amenity,parking,nar,Parking Fee,query,https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
access,yes,nar,Parking Fee,query,https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
access,customers,nar,Parking Fee,query,https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
access,public,nar,Parking Fee,query,https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
fee,,nar,Parking Fee,query (exclusion),https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
fee:conditional,,nar,Parking Fee,query (exclusion),https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
fee,yes,nar,Parking Fee,fill,https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
fee,no,nar,Parking Fee,fill,https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
fee:conditional,,nar,Parking Fee,fill,https://wiki.openstreetmap.org/w/images/6/6c/StreetComplete_quest_parking_fee.svg,,,,
building,yes,ar,Building Type,query,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
man_made,,ar,Building Type,query (exclusion),https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
historic,,ar,Building Type,query (exclusion),https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
military,,ar,Building Type,query (exclusion),https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
power,,ar,Building Type,query (exclusion),https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
location,underground,ar,Building Type,query (exclusion),https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,residential,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,house,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,apartments,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,detached,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,semidetached_house,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,terrace,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,hotel,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,dormitory,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,houseboat,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,bungalow,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,static_caravan,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,hut,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,commercial,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,industrial,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,retail,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,office,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,warehouse,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,kiosk,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,yes,ar,Building Type,delete,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
man_made,storage_tank,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,civic,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,kindergarten,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,school,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,college,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,sports_centre,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,hospital,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,stadium,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,train_station,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,transportation,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,university,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,government,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,religious,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,church,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,chapel,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,cathedral,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,mosque,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,temple,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,pagoda,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,synagogue,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,shrine,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,carport,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,garage,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,garages,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,parking,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,farm,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,farm_auxiliary,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,greenhouse,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,shed,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,roof,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,toilets,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
